,treatment,type,ecotype
SRR629599,control,paired-end,meadow
SRR629651,heat,paired-end,lakeshore
SRR629652,control,paired-end,meadow
SRR629653,heat,paired-end,lakeshore
SRR629654,control,paired-end,lakeshore
SRR629655,heat,paired-end,lakeshore
SRR629656,control,paired-end,meadow
SRR629657,heat,paired-end,lakeshore
SRR629658,control,paired-end,meadow
SRR629659,heat,paired-end,lakeshore
SRR629661,control,paired-end,meadow
SRR629660,heat,paired-end,meadow
SRR629662,control,paired-end,lakeshore
SRR629664,heat,paired-end,meadow
SRR629663,control,paired-end,lakeshore
SRR629665,control,paired-end,lakeshore
SRR629666,heat,paired-end,meadow
SRR629667,control,paired-end,lakeshore
SRR629668,heat,paired-end,meadow
SRR629669,heat,paired-end,meadow
