"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LOC121936193",280026.041572898,9.15609247306829,0.238895736508966,38.3267303421493,0,0
"gene-HSPA2",419653.570110863,10.3667738923935,0.362928961301015,28.5641957457212,1.87184592417946e-179,1.70038483752462e-175
"gene-FOSB",8877.71757293536,10.8158431267036,0.381358384503444,28.3613618218636,6.06224879158891e-177,3.67129786818624e-173
"gene-DNAJB1",75984.9600809033,6.43787762051674,0.24669931936252,26.0960493817026,4.04236098516336e-150,1.8360403594612e-146
"gene-LOC121920813",1467.66518946237,7.86696159665847,0.352465815955943,22.3197860346315,2.37423112767403e-110,8.62700622551636e-107
"gene-DUSP1",68962.3983154421,7.54192917208397,0.356361054420612,21.1637300948781,2.06243622991351e-99,6.24505690417812e-96
"gene-FOS",17109.8335232622,7.93848769592811,0.390156267193714,20.3469439387132,4.94136495704572e-92,1.28249597913724e-88
"gene-HSPB6",58054.0377662604,9.67143666661506,0.475615063770058,20.3345886270979,6.35703847924448e-92,1.44368343863642e-88
"gene-DNAJA4",27404.8056537955,10.5937382157756,0.538068904039632,19.6884416405437,2.7089590999225e-86,5.46848543637688e-83
"gene-LOC121935831",389.94066690629,7.63241021335122,0.394524530478756,19.3458444880203,2.20955234725056e-83,4.01431470448482e-80
"gene-PPP1R15A",14225.1695268755,7.30708019908919,0.387774204536598,18.8436469306187,3.3132966549685e-79,5.47236123886069e-76
"gene-LOC121933402",765.606076485223,9.52584781465322,0.522870855949571,18.2183568012289,3.6907254744916e-74,5.58775836838029e-71
"gene-LOC121935832",1150.56015162908,8.12232001829188,0.44971401028742,18.0610784465015,6.45491216241389e-73,9.02098801282581e-70
"gene-IER5",1003.76108028501,4.57163968267456,0.270940034573705,16.8732527471163,7.07886587746902e-64,9.18634537584694e-61
"gene-LOC121935833",339.381046941466,7.75065409867994,0.4734627312457,16.3701461322788,3.12462820646322e-60,3.78454968366825e-57
"gene-TENT5B",7517.08859884355,5.67399469440243,0.350987881988597,16.1657851611719,8.79107151471428e-59,9.98226170495806e-56
"gene-HSP90AA1",184229.69434124,4.3889101585524,0.298043880781971,14.725718062177,4.40762912295392e-49,4.71045917093099e-46
"gene-LOC121933926",290.532553878762,8.94955826893355,0.617997733738572,14.481538977163,1.58508011778595e-47,1.59987419888528e-44
"gene-CHAC1",2670.14811156991,7.59573332696689,0.543604199080511,13.9729114304393,2.28107632079572e-44,2.18118918927456e-41
"gene-LOC121929090",662.209659072023,6.691960530069,0.492085445538244,13.5991840253461,4.04925808984438e-42,3.67834604881464e-39
"gene-KLF4",503.307148623074,5.26069559184918,0.387676816536554,13.5697967158507,6.04895641896892e-42,5.2332114390394e-39
"gene-IER2",9855.59506450023,3.46624352756307,0.256210439349753,13.5288926413779,1.05602403699958e-41,8.72083850191291e-39
"gene-LOC121924109",2306.85400187495,5.78554890786797,0.430316748225164,13.4448610976226,3.30024915890042e-41,2.6069098573436e-38
"gene-BAG3",36234.2375539038,6.17292141376093,0.461035950002591,13.3892409338713,6.98913782587301e-41,5.29077733418587e-38
