"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-DNAJA4",5162.92211289233,7.73296691318478,0.627337501854299,12.3266453708371,6.5100965647293e-35,1.07585855828716e-30
"gene-LOC116519247",3238.69492483286,7.62576435437993,0.623288065344945,12.2347350741581,2.02765333396689e-34,1.67544994985684e-30
"gene-HSPB6",24490.2475120217,6.85247180265343,0.61098653569417,11.2154219484854,3.42548792412126e-29,1.8869871144676e-25
"gene-RSRP1",1072.1727619822,2.44452411838529,0.218798506162416,11.1724899829558,5.56000401947896e-29,2.29711566064773e-25
"gene-DNAJB1",22963.3370816574,5.14132252528056,0.470307996913716,10.9318203369266,8.12028973527865e-28,2.6839181633043e-24
"gene-HSPA2",85762.7827282996,8.84710378136528,0.815900002457051,10.8433677591893,2.14429125428344e-27,5.90609287804802e-24
"gene-LOC116507961",2275.21645389268,0.839469308413695,0.0806723459072936,10.4059117033536,2.33014789405173e-25,5.1461332624649e-22
"gene-NSMCE4A",2647.30517784695,-1.48880233362535,0.14316031836197,-10.3995461218592,2.49116943602319e-25,5.1461332624649e-22
"gene-LZTS3",1193.2068636287,1.38578509404157,0.136666427179378,10.1399087006401,3.67442836209968e-24,6.74706701245103e-21
"gene-GABPA",1739.36904927395,-1.11007368706062,0.110928689930481,-10.0070927345875,1.41860097601477e-23,2.34437997296201e-20
"gene-AKAP8",2419.29358947688,-1.42581485366225,0.145651873982621,-9.78919676538029,1.25287196609515e-22,1.88226928288078e-19
"gene-STX12",879.857106465949,0.678284753547352,0.0709616314588496,9.55847180515694,1.19508271806093e-21,1.64582808322291e-18
"gene-LOC116507123",95457.7213842775,3.25838755990745,0.342391940342918,9.51654281535965,1.79036218921609e-21,2.27596350299886e-18
"gene-HSP90AA1",141355.09667313,5.93223370632122,0.632270819394989,9.38242525884351,6.44723613823784e-21,7.61050174432276e-18
"gene-GOLGA3",1483.86020866137,0.821548963750632,0.0889393879735338,9.23717806552823,2.5308367294785e-20,2.78830718609078e-17
"gene-SRSF5",15270.491068701,-1.04997498130954,0.120266267699292,-8.73041960472947,2.53729508430858e-18,2.62070866020522e-15
"gene-LOC116503443",328.195099995213,1.07271192385089,0.122971117893394,8.72328350125957,2.70248530609221e-18,2.62713365696941e-15
"gene-LOC116503736",1306.0856574528,1.72206306538052,0.197744934715059,8.70850658127818,3.07904463062169e-18,2.70874130614723e-15
"gene-JMJD6",1038.80577307769,2.16435213551911,0.248569892162281,8.70721758251438,3.11424935355182e-18,2.70874130614723e-15
"gene-LOC116518611",309.948129697338,-1.46017365643624,0.167988571871573,-8.69210113621621,3.55797129739558e-18,2.93995168303797e-15
"gene-GAREM1",3000.989626513,0.83687933426767,0.0987685762382324,8.47313352223581,2.38878506201431e-17,1.87986009213565e-14
"gene-KMT2D",4918.01057647418,0.618410436538767,0.0736008489091546,8.40221880187918,4.38120530664135e-17,3.29108176807068e-14
"gene-MAFK",707.149593232518,1.09688330565157,0.1312257251918,8.35875209718485,6.33851466625777e-17,4.5543605815033e-14
"gene-TTBK2",536.386115629026,1.15461503393614,0.138855986759231,8.31519807596184,9.15991531739962e-17,6.30736502230609e-14
"gene-NUP42",168.859180496978,-1.74263441369369,0.212084606382566,-8.21669447593129,2.09189110943805e-16,1.38282369898293e-13
"gene-LOC116515893",39.6361520017219,-2.11322059556744,0.259439431304333,-8.14533313206558,3.78239120560783e-16,2.31510359495833e-13
"gene-LOC116523633",1654.82734861065,-0.744927382161075,0.0914450231199538,-8.14617741617179,3.756089300843e-16,2.31510359495833e-13
"gene-LOC116515433",3005.60849340185,0.68797438098463,0.0845394574587649,8.13790863657005,4.02164131862149e-16,2.37363015826924e-13
"gene-HSPH1",2677.88695771114,4.86131593327433,0.603043637568775,8.06130042740052,7.54870548688793e-16,4.30172092676931e-13
"gene-LOC116510384",67.606209595476,2.54704206318948,0.316774548433773,8.04055147669789,8.94350498892183e-16,4.92667878156407e-13
"gene-GDAP1",1009.92038316858,-0.793331627919856,0.0990475870206944,-8.00960075639301,1.1508142222326e-15,6.13495349568255e-13
"gene-SUV39H1",269.003853334411,-1.45860677491732,0.184118160462267,-7.92212333240341,2.33488540357369e-15,1.20582238060809e-12
"gene-LOC116503202",138.996525073011,1.89034462123566,0.238781006462149,7.91664567146093,2.44003824546877e-15,1.2219415771096e-12
"gene-TRAF3IP2",1090.01137266389,-1.27749877643589,0.163875823692103,-7.79552924680405,6.41390793573536e-15,3.11753654546949e-12
"gene-CSRNP2",785.799850247599,1.68678469527901,0.217301173456825,7.76242791718817,8.33187286118568e-15,3.93407231154156e-12
"gene-TMEM64",4300.36998821034,0.987104314695939,0.127899772595248,7.71779569788393,1.18358710942037e-14,5.43332238063362e-12
"gene-ATL2",6327.92963303477,0.820995377613641,0.106921165052558,7.67851133318714,1.60947921606047e-14,7.18871716881495e-12
"gene-BTBD7",1429.39193636847,0.798539336949275,0.105364456395633,7.57883032159196,3.48684168259967e-14,1.51640909596427e-11
"gene-VGLL4",1459.55768409452,0.951621553769533,0.125857983583178,7.56107420981061,3.99754080031072e-14,1.69393228887013e-11
"gene-NLRC4",369.105379502981,-1.15106388310293,0.153626352712835,-7.49262000156019,6.75121539165998e-14,2.78926463906432e-11
"gene-GPR146",1144.41228521552,0.960541361696414,0.12882163817336,7.456366611359,8.89410500303651e-14,3.58497510439467e-11
"gene-AHSA1",2318.25217645519,2.36158488224305,0.318173284639204,7.42232298013643,1.15083750133139e-13,4.52827155881012e-11
"gene-HASPIN",462.377036888879,-1.04201222061122,0.141348865686352,-7.37191781166044,1.68190702055196e-13,6.46399893526551e-11
"gene-REST",3162.27274061914,0.914311910599546,0.124193951055418,7.36196813797768,1.81218232540274e-13,6.80639207036491e-11
"gene-HPS1",711.370602153243,-1.07085684490953,0.145701394141046,-7.34966779983511,1.98700066705146e-13,7.29714956082054e-11
"gene-OBI1",271.254407993766,-0.867797311803759,0.118997556117598,-7.29256415103322,3.04110680675723e-13,1.09255067583631e-10
"gene-LOC116503083",162.077540254973,1.46173242753924,0.200907261357076,7.27565752310604,3.44737160455815e-13,1.21215453482826e-10
"gene-TASP1",682.485782777067,-0.873608113427535,0.120424488730841,-7.25440583252232,4.03428828446989e-13,1.38897183727394e-10
"gene-CHORDC1",4251.30624160966,2.91560643518703,0.402377638360689,7.24594549305818,4.29432799859306e-13,1.44832784703569e-10
"gene-LOC116508309",58.3779767546418,2.4680924921163,0.341443718104859,7.22840210918255,4.88709901469466e-13,1.61528396633688e-10
"gene-FIGNL2",613.22905379444,2.14634582908715,0.297339409283709,7.21850438277824,5.25624434885954e-13,1.70322929625986e-10
"gene-DEDD2",8486.31294389663,-0.913937806002753,0.127728515598515,-7.15531533205557,8.34808003277284e-13,2.65308405041546e-10
"gene-TDG",349.736222678986,-1.06743298220217,0.149535413701882,-7.13832901368924,9.44722895129554e-13,2.891201956465e-10
"gene-LOC116518964",1204.63480502758,3.53028252174395,0.494435832008191,7.14002160281431,9.33162522811618e-13,2.891201956465e-10
"gene-LOC116506615",9221.71164264697,-1.031326731514,0.144957739752937,-7.11467171930084,1.12179521387722e-12,3.3706886735518e-10
"gene-BAG3",16609.1324336217,4.2766297512169,0.607348174826568,7.04147954744101,1.90209139327382e-12,5.61320756522198e-10
"gene-LOC116515182",131919.604441681,4.50393162545072,0.641032268010187,7.02606069961387,2.12446068107234e-12,6.15944512550905e-10
"gene-TSSC4",1627.3907986304,-0.616262791682614,0.0879239961940698,-7.00903983393079,2.39959136183224e-12,6.83718049062752e-10
"gene-DNAJB4",2087.77380713386,1.57527659366206,0.226799010794468,6.9456942873954,3.7660352762387e-12,1.0548728639851e-09
"gene-LOC116519881",2886.98564284481,1.29081949464603,0.186403034340375,6.9248845611009,4.36331180742108e-12,1.20180151549068e-09
"gene-PROSER3",135.863917331264,-1.31674923307753,0.190889561849238,-6.897963515247,5.27532898506915e-12,1.42918175093857e-09
"gene-RBM12B",1985.1102812083,0.785498767058552,0.114380969402333,6.86739036365024,6.53869682814051e-12,1.74287909325565e-09
"gene-LOC116503881",2744.59946189834,1.8373611440146,0.268453083997327,6.84425418645181,7.68753164645637e-12,2.01657377760854e-09
"gene-LOC116509985",234.973269225795,-1.5596896813017,0.228375681989337,-6.82949107240989,8.5216399257413e-12,2.20044720957501e-09
"gene-ZNF507",817.407711698678,1.0657308103129,0.156808642130784,6.79637803013459,1.07282049911326e-11,2.72760485666856e-09
