gene_id,SRR6825925,SRR6825926,SRR6825928,SRR6825930,SRR6825932,SRR6825933,SRR6825934,SRR6825935,SRR6825938,SRR6825939,SRR6825940,SRR6825941
gene-BLMH,370,891,1707,740,682,785,1397,1757,1330,1002,663,560
gene-XXYLT1,4205,4048,3060,3345,2662,4751,6097,4857,10096,3207,4031,2822
gene-LOC121920026,0,12,0,0,0,0,0,45,0,0,0,0
gene-LOC121920027,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121920024,0,5,0,0,0,0,0,4,0,0,0,0
gene-LOC121920022,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121920021,0,0,0,3,7,0,10,12,0,0,0,4
gene-LOC121935223,340,302,412,309,239,314,533,713,455,253,228,288
gene-ACAD9,1779,2689,1424,1773,1730,2198,5827,3138,3821,2159,2040,1170
gene-ACAD8,2507,3872,3391,3599,4135,3754,3298,10316,1723,2686,3856,3468
gene-ACADM,6884,6250,6139,5036,6899,8031,22787,5718,4773,13326,6372,2833
gene-LOC121929549,2557,2144,1672,1559,1858,2083,3878,4194,7351,1635,3202,1844
gene-LOC121929540,37,99,246,51,324,545,250,55,67,704,566,667
gene-LOC121929547,0,0,0,0,4,0,0,0,0,0,0,0
gene-LOC121925216,0,0,3,0,0,0,0,3,0,0,0,0
gene-LOC121925217,1032,1537,783,315,1006,666,1684,2775,1226,516,281,802
gene-LOC121925212,0,0,0,32,28,0,0,13,0,0,0,11
gene-LOC121921771,8563,19486,7558,1458,13251,323,1641,16023,14069,915,31833,1976
gene-LOC121921770,265,2323,3609,1681,2059,2025,1089,12459,88,1587,456,968
gene-ACADS,2345,2022,2379,1098,1746,2558,4229,1965,2284,2435,2018,1488
gene-LOC121921777,0,0,0,2,0,0,0,0,0,0,0,0
gene-LOC121920794,0,0,0,0,0,0,0,0,0,0,6,0
gene-LOC121920790,0,0,6,0,0,0,0,0,2,0,0,0
gene-LOC121920792,38,24,34,100,30,60,24,136,10,84,33,75
gene-NR4A2,58,153,3040,1422,1838,2813,38,1167,114,1981,11312,6580
gene-ERMP1,88,126,219,369,143,184,252,408,412,424,232,273
gene-LOC121931830,89,206,124,148,91,105,242,454,173,244,102,71
gene-LOC121931836,40,14,16,29,0,14,36,32,0,0,8,19
gene-LOC121931835,65,166,277,418,182,419,267,413,35,290,78,250
gene-HLCS,444,1296,1131,1854,1172,723,915,10186,494,885,905,1285
gene-LOC121931839,85,51,55,22,34,35,80,86,23,54,21,42
gene-AJM1,40,73,59,55,60,65,34,25,39,62,97,63
gene-NPPC,0,0,0,0,0,0,0,0,0,0,3,0
gene-LOC121926741,0,0,0,0,0,0,8,0,10,0,0,4
gene-LOC121926740,1026,1272,1442,1141,1020,1368,1871,1733,2142,831,2554,1598
gene-LOC121926745,95,205,83,130,0,0,0,949,16,8,87,19
